run_id,target_task_id,split,condition,source_set_id,routing_decision,memory_attached,em,f1,token_usage,failure_status,note,pred_answer,gold_answer,prompt_chars,raw_output
r1_no_memory_wiki_dev_8896_relevant,wiki_dev_8896,relevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,697,ok,,Billy Magoulias,Jean-Baptiste Le Prince,2812,Billy Magoulias
r1_no_memory_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,697,ok,,Billy Magoulias,Jean-Baptiste Le Prince,2812,Billy Magoulias
r1_episodic_trace_wiki_dev_8896_relevant,wiki_dev_8896,relevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1623,ok,,Billy Magoulias,Jean-Baptiste Le Prince,6818,Billy Magoulias
r1_cross_episode_consolidation_wiki_dev_8896_relevant,wiki_dev_8896,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1408,ok,,Jean-Baptiste Le Prince,Jean-Baptiste Le Prince,6321,Jean-Baptiste Le Prince
r1_episodic_trace_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1527,ok,,Jean-Baptiste Le Prince,Jean-Baptiste Le Prince,6192,Jean-Baptiste Le Prince
r1_cross_episode_consolidation_wiki_dev_8896_irrelevant,wiki_dev_8896,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1395,ok,,Billy Magoulias,Jean-Baptiste Le Prince,6131,Billy Magoulias
r1_no_memory_wiki_dev_0092_relevant,wiki_dev_0092,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,875,ok,,"Alexandria, Egypt",Paris,3002,"Alexandria, Egypt"
r1_no_memory_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,875,ok,,"Alexandria, Egypt",Paris,3002,"Alexandria, Egypt"
r1_episodic_trace_wiki_dev_0092_relevant,wiki_dev_0092,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1702,ok,,Alex Joffé,Paris,6382,Alex Joffé
r1_cross_episode_consolidation_wiki_dev_0092_relevant,wiki_dev_0092,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1572,ok,,Alex Joffé,Paris,6321,Alex Joffé
r1_episodic_trace_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1800,ok,,Alex Joffé,Paris,7008,Alex Joffé
r1_cross_episode_consolidation_wiki_dev_0092_irrelevant,wiki_dev_0092,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1583,ok,,Alex Joffé,Paris,6511,Alex Joffé
r1_no_memory_wiki_dev_10378_relevant,wiki_dev_10378,relevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,874,ok,,Bombay,Bombay,3082,Bombay
r1_no_memory_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,874,ok,,Bombay,Bombay,3082,Bombay
r1_episodic_trace_wiki_dev_10378_relevant,wiki_dev_10378,relevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1702,ok,,Bombay,Bombay,6462,Bombay
r1_cross_episode_consolidation_wiki_dev_10378_relevant,wiki_dev_10378,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,1572,ok,,Bombay,Bombay,6401,Bombay
r1_episodic_trace_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,1800,ok,,Bombay,Bombay,7088,Bombay
r1_cross_episode_consolidation_wiki_dev_10378_irrelevant,wiki_dev_10378,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1583,ok,,Bombay,Bombay,6591,Bombay
r1_no_memory_wiki_dev_7019_relevant,wiki_dev_7019,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,1161,ok,,Best Song,Sanremo Music Festival,4962,Best Song
