task_id,dataset,original_index,question,answer,raw_type,level,support_titles
hp_dev_4705,HotpotQA,4705,Of these two publication--Báiki and Sick--what type of publication is the one that was published most frequently?,satirical-humor magazine,comparison,hard,Báiki|Sick (magazine)
hp_dev_3635,HotpotQA,3635,Are Nikolaschka and White Russian made of beer?,no,comparison,hard,Nikolaschka|Nikolaschka|White Russian (cocktail)|White Russian (cocktail)
hp_dev_6333,HotpotQA,6333,"Which genus of flowering plants has the most species, Caesalpinia or Achimenes?",Caesalpinia,comparison,hard,Caesalpinia|Caesalpinia|Achimenes
hp_dev_5118,HotpotQA,5118,"Did Qionghai or Suining  have a population of 658,798 in 2002?","In 2002, Suining had a population of 658,798.",comparison,hard,Qionghai|Qionghai|Suining|Suining
hp_dev_1754,HotpotQA,1754,Were H. G. Wells and Rubén Darío both English?,no,comparison,hard,H. G. Wells|Rubén Darío
hp_dev_5052,HotpotQA,5052,"Who was born first, Ana Kasparian or Andre Agassi?",Andre Kirk Agassi,comparison,hard,Ana Kasparian|Andre Agassi
hp_dev_1691,HotpotQA,1691,Do the genuses Catopsis and Crataegus belong to the same family?,no,comparison,hard,Catopsis|Crataegus
hp_dev_6522,HotpotQA,6522,Does the genus Cunninghamia or Chilopsis contain only one species?,Chilopsis,comparison,hard,Cunninghamia|Chilopsis
hp_dev_5486,HotpotQA,5486,"which is larger, Hunchun or Shijiazhuang?",Shijiazhuang,comparison,hard,Shijiazhuang|Shijiazhuang|Hunchun
hp_dev_3041,HotpotQA,3041,Jim Sharman and Ava DuVernay both share what title concerning their actions leading actors in film or stage?,director,comparison,hard,Jim Sharman|Ava DuVernay
hp_dev_5072,HotpotQA,5072,Was Steve Sekely and Willian King Baggot known by multiple names or nicknames?,yes,comparison,hard,Steve Sekely|King Baggot
hp_dev_5589,HotpotQA,5589,"Which city has a higher population, Shanghai or Hengyang?",Shanghai,comparison,hard,Shanghai|Hengyang
hp_dev_5539,HotpotQA,5539,Ben Folds and Nic Offer are both considered to be which type of artists?,musician,comparison,hard,Ben Folds|Nic Offer
hp_dev_2574,HotpotQA,2574,Which airport served more people in 2015 Asheville Regional Airport or Orlando International Airport ?,Orlando International Airport,comparison,hard,Asheville Regional Airport|Orlando International Airport|Orlando International Airport
hp_dev_0989,HotpotQA,989,"Which film is newer, The Apple Dumpling Gang or Heavyweights?",Heavyweights,comparison,hard,The Apple Dumpling Gang (film)|Heavyweights
