task_id,question,answer,raw_type,level,matched_relation_terms,matched_chain_templates,support_titles,context_titles_preview
hp_dev_1380,Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas,bridge,hard,brother|wife,spouse_family_chain|sibling_family_chain|possessive_relation_chain,Abraham Lincoln Neiman|Abraham Lincoln Neiman|Abraham Lincoln Neiman|Abraham Lincoln Neiman|Carrie Marcus Neiman,Carrie Marcus Neiman|Neiman Marcus|Derrill Osborn|Abraham Lincoln Neiman|Lawrence Marcus|Neiman Marcus Building|Ernestine Cannon|Bibliography of Abraham Lincoln|Minnie Lichtenstein Marcus|Stanley Marcus
hp_dev_7398,Who was the brother of the wife of the Democratic Party nomination for Vice President in 1972?,President John F. Kennedy,bridge,hard,brother|wife,spouse_family_chain|sibling_family_chain|nested_of_chain,Sargent Shriver|Sargent Shriver|Eunice Kennedy Shriver,"Ricardo Álvarez Arias|Young Democrats of North Carolina|Democratic Party presidential primaries, 2012|2016 Democratic National Convention|2000 Democratic National Convention|2008 Democratic National Convention|Hubert Humphrey presidential campaign, 1968|1932 Democratic National Convention|1916 Republican National Convention|Doug Duncan"
hp_dev_1892,"Matilda of Chester, Countess of Huntingdon's father was the son of which woman?",Maud of Gloucester,bridge,hard,father|son,parent_child_chain|possessive_relation_chain,"Matilda of Chester, Countess of Huntingdon|Hugh de Kevelioc, 5th Earl of Chester","Theophilus Hastings, 9th Earl of Huntingdon|Francis Hastings, 2nd Earl of Huntingdon|Abney-Hastings baronets|Isobel of Huntingdon|Henry of Scotland|Selina Hastings, Countess of Huntingdon|John of Scotland, Earl of Huntingdon|Matilda of Chester, Countess of Huntingdon|Margaret of Huntingdon, Lady of Galloway|Theophilus Hastings, 7th Earl of Huntingdon"
hp_dev_2485,"Who is the mother of Mary, Crown Princess of Denmark's husband?",Queen Margrethe II,bridge,hard,husband|mother,spouse_family_chain|possessive_relation_chain,"Mary, Crown Princess of Denmark|Frederik, Crown Prince of Denmark","John Dalgleish Donaldson|Yaza Datu Kalaya|Crown Princess (ship)|Princess Josephine of Denmark|Prince Vincent of Denmark|Duchess Cecilie of Mecklenburg-Schwerin|Princess Isabella of Denmark|Mary, Crown Princess of Denmark|Crown prince|Prince Christian of Denmark"
hp_dev_3422,"What team does the oldest son play for, from the family whose middle son plays for the Chicago Bulls and the mother and father and third son all played basketball.",Finland national football team,bridge,hard,father|mother|son,parent_child_chain,Pekka Markkanen|Pekka Markkanen|Pekka Markkanen|Pekka Markkanen|Eero Markkanen|Eero Markkanen,Windy City Bulls|Lauri Markkanen|John de Sequeyra|Larry Friend|2016–17 Miami Heat season|Viscount Molesworth|Pekka Markkanen|Calvin Duncan (basketball)|Everything I Never Told You|Hind Etin
hp_dev_3372,"The elder sister of Darleen Carr is best known for her role as which Von Trapp daughter in ""The Sound of Music?""",the eldest Von Trapp daughter,bridge,hard,daughter|sister,sibling_family_chain,Darleen Carr|Charmian Carr,The von Trapps|Rupert von Trapp|Hedwig von Trapp|Maria von Trapp|Charmian Carr|Maria Franziska von Trapp|Werner von Trapp|Martina von Trapp|Agathe von Trapp|Edelweiss (song)
hp_dev_4066,What soldier and statesman was also a brother to James FitzJames mother?,"John Churchill, 1st Duke of Marlborough",bridge,hard,brother|mother,sibling_family_chain,"James FitzJames, 1st Duke of Berwick|John Churchill, 1st Duke of Marlborough","House of FitzJames|Battle of Alcantara (1706)|James Fitzjames Stephen|James Fitzjames|James Stephen (British politician)|Duke of Berwick|Harry Lushington Stephen|Duke of Fitz-James|James FitzJames, 1st Duke of Berwick|James Butler, 2nd Duke of Ormonde"
hp_dev_4676,Who is the sister of Princess Zein and the daughter of a British woman?,Princess Aisha bint Hussein,bridge,hard,daughter|sister,sibling_family_chain,Princess Aisha bint Hussein|Princess Muna al-Hussein,Patsy Quick|Freda Bedi|Lavinia Ryves|Princess Aisha bint Hussein|Princess Zein bint Hussein|Flora Sandes|Lambeth slavery case|Princess Basma bint Talal|Ellie Downie|Beatrice Edgell
hp_dev_4737,What year did a Russian soprano opera singer born in October 1926 leave Russia with her cellist husband and daughter?,1974,bridge,hard,daughter|husband,spouse_family_chain,Galina Vishnevskaya|Elena Rostropovich,Galina Vishnevskaya|Julia Lezhneva|Annagul Annakuliyeva|Louise Chevalier|Maria Guleghina|Julia Novikova (soprano)|Schuch|Ludmilla Azova|Eleonora Vindau|Milka Stojanović
hp_dev_5290,Who starred as a divorced mother in an American sitcom produced by Danny Bonaduce's father?,Bonnie Franklin,bridge,hard,father|mother,possessive_relation_chain,Danny Bonaduce|Danny Bonaduce|One Day at a Time|One Day at a Time,VH1 Big in '06 Awards|Skip Kelly|Greatest Hits (Partridge Family album)|The Other Half (TV series)|One Day at a Time|Come On Get Happy: The Partridge Family Story|I Know My Kid's a Star|Danny (talk show)|H.O.T.S.|Breaking Bonaduce
