task_id,question,answer,raw_type,level,matched_relation_terms,matched_chain_templates,support_titles,reasoning_label,bridge_subtype,keep_drop,note
hp_dev_1380,"Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?",Dallas,bridge,hard,brother|wife,spouse_family_chain|sibling_family_chain|possessive_relation_chain,Abraham Lincoln Neiman|Abraham Lincoln Neiman|Abraham Lincoln Neiman|Abraham Lincoln Neiman|Carrie Marcus Neiman,bridge,relation_chain_bridge,keep,"wife -> brother continuation is central before resolving the cofounding city"
hp_dev_7398,Who was the brother of the wife of the Democratic Party nomination for Vice President in 1972?,President John F. Kennedy,bridge,hard,brother|wife,spouse_family_chain|sibling_family_chain|nested_of_chain,Sargent Shriver|Sargent Shriver|Eunice Kennedy Shriver,bridge,relation_chain_bridge,keep,"vice-presidential nominee -> wife -> brother is a clean kinship chain"
hp_dev_1892,"Matilda of Chester, Countess of Huntingdon's father was the son of which woman?",Maud of Gloucester,bridge,hard,father|son,parent_child_chain|possessive_relation_chain,"Matilda of Chester, Countess of Huntingdon|Hugh de Kevelioc, 5th Earl of Chester",bridge,relation_chain_bridge,keep,"daughter -> father -> his mother is an explicit parent-child chain"
hp_dev_2485,"Who is the mother of Mary, Crown Princess of Denmark's husband?",Queen Margrethe II,bridge,hard,husband|mother,spouse_family_chain|possessive_relation_chain,"Mary, Crown Princess of Denmark|Frederik, Crown Prince of Denmark",bridge,relation_chain_bridge,keep,"wife -> husband -> mother is a clean spouse-to-parent continuation"
hp_dev_3422,"What team does the oldest son play for, from the family whose middle son plays for the Chicago Bulls and the mother and father and third son all played basketball.",Finland national football team,bridge,hard,father|mother|son,parent_child_chain,Pekka Markkanen|Pekka Markkanen|Pekka Markkanen|Pekka Markkanen|Eero Markkanen|Eero Markkanen,bridge,unclear,drop,"family-member selection is central, but the chain is crowded and unstable for a clean reusable subtype"
hp_dev_3372,"The elder sister of Darleen Carr is best known for her role as which Von Trapp daughter in ""The Sound of Music?""",the eldest Von Trapp daughter,bridge,hard,daughter|sister,sibling_family_chain,Darleen Carr|Charmian Carr,bridge,attribute_bridge,drop,"sister relation identifies Charmian Carr; final step is role attribute lookup"
hp_dev_4066,"What soldier and statesman was also a brother to James FitzJames mother?","John Churchill, 1st Duke of Marlborough",bridge,hard,brother|mother,sibling_family_chain,"James FitzJames, 1st Duke of Berwick|John Churchill, 1st Duke of Marlborough",bridge,relation_chain_bridge,keep,"mother -> her brother is the key reasoning path"
hp_dev_4676,Who is the sister of Princess Zein and the daughter of a British woman?,Princess Aisha bint Hussein,bridge,hard,daughter|sister,sibling_family_chain,Princess Aisha bint Hussein|Princess Muna al-Hussein,bridge,relation_chain_bridge,keep,"sister + daughter constraints jointly identify the target person"
hp_dev_4737,What year did a Russian soprano opera singer born in October 1926 leave Russia with her cellist husband and daughter?,1974,bridge,hard,daughter|husband,spouse_family_chain,Galina Vishnevskaya|Elena Rostropovich,bridge,unclear,drop,"husband and daughter act as descriptive modifiers; final answer is a year on the same person"
hp_dev_5290,Who starred as a divorced mother in an American sitcom produced by Danny Bonaduce's father?,Bonnie Franklin,bridge,hard,father|mother,possessive_relation_chain,Danny Bonaduce|Danny Bonaduce|One Day at a Time|One Day at a Time,bridge,attribute_bridge,drop,"father identifies producer; final step is actress lookup from sitcom"
hp_dev_5315,"Barnstable County Hospital was the location of the autopsy of the son of President John F. Kennedy and Jacqueline Kennedy, and the younger brother of who?",Caroline Kennedy,bridge,hard,brother|son,sibling_family_chain,Barnstable County Hospital|John F. Kennedy Jr.,bridge,relation_chain_bridge,keep,"son -> younger sister is a direct relation-chain target"
hp_dev_6699,Mother and daughter duo Indian actresses appear in which type of films,Malayalam movies,bridge,hard,daughter|mother,parent_child_chain,Subbalakshmi|Subbalakshmi|Thara Kalyan,bridge,attribute_bridge,drop,"mother-daughter relation identifies the duo; final step is film-type attribute lookup"
hp_dev_6741,"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",Patrick Swayze,bridge,hard,brother|mother,sibling_family_chain,Patsy Swayze|Patsy Swayze|Patsy Swayze|Don Swayze|Don Swayze,bridge,relation_chain_bridge,keep,"mother clue and sibling relation together resolve Patrick Swayze"
hp_dev_6859,Whose father is the name of the son of the chief counsellor to the king in Hamlet taken from?,Odysseus,bridge,hard,father|son,parent_child_chain|possessive_relation_chain,Laertes (Hamlet)|Laertes (Hamlet)|Laertes (Hamlet)|Polonius,bridge,relation_chain_bridge,keep,"counsellor -> son Laertes -> whose father is the chain being queried"
hp_dev_7097,"The actor of Professor Sprout in ""Harry Potter"" acted as a mother in a sitcom. In that sitcom, what was the daughter's name?",Fran,bridge,hard,daughter|mother,parent_child_chain,Bucket (TV series)|Miriam Margolyes,bridge,attribute_bridge,drop,"mother role identifies sitcom context; final step is daughter name lookup"
hp_dev_7212,When did the husband of William Roper bornj who was also the father of  Margaret Roper?,7 February 14786,bridge,hard,father|husband,spouse_family_chain,Portrait Miniature of Margaret Roper|Portrait Miniature of Margaret Roper|Thomas More,bridge,unclear,drop,"question wording is malformed and supporting path is too boundary-heavy for source construction"
hp_dev_7220,The eldest daughter of Princess Louise of Denmark and Norway was the wife of a king whose motto was what?,God and the just cause,bridge,hard,daughter|wife,spouse_family_chain,Princess Louise of Denmark (1750–1831)|Princess Louise of Denmark (1750–1831)|Frederick VI of Denmark|Frederick VI of Denmark,bridge,relation_chain_bridge,keep,"daughter -> wife of king -> motto is a clear multi-relation chain"
