idx,task_id,question,answer,raw_type,level,matched_relation_terms,support_titles,context_titles_preview
24,hp_dev_0024,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,bridge,hard,father,Kasper Schmeichel|Kasper Schmeichel|Peter Schmeichel,Sommeren '92|Pelé|IFFHS World's Best Club Coach|IFFHS World's Best Goalkeeper|Isaak Hassler|Goštautai
28,hp_dev_0028,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,bridge,hard,father,Kaiser Ventures|Kaiser Ventures|Henry J. Kaiser,New York Shipbuilding Corporation|Kaiser Shipyards|Eagle Mountain Railroad|Nutri Ventures – The Quest for the 7 Kingdoms|Edgar Kaiser Sr.|Kaiser Ventures
124,hp_dev_0124,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,bridge,hard,daughter,The Bye Bye Man|The Bye Bye Man|Cressida Bonas,Princess Olga of Hanover|Chainsaw (Scream Queens)|Sian Powers|One Night in Istanbul|Gelston Castle|Lady Alexandra Curzon
198,hp_dev_0198,What amount was the settlement that the character from the Son of al Quada got in 2017?,$10.5 million,bridge,hard,son,Son of al Qaeda|Omar Khadr,"Duty to settle|Fraley v. Facebook, Inc.|Nilmoni Tagore|Al Utouriya|Damian Wayne|Kasia Al Thani"
256,hp_dev_0256,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,1945,bridge,hard,wife,Along the Navajo Trail (film)|Dale Evans,Don't Fence Me In (film)|Apache Rose|Song of Arizona|Along the Navajo Trail (film)|Rainbow Over Texas|Sons of the Pioneers (film)
369,hp_dev_0369,Erica Packer was the second wife of what Australian businessman?,James Packer,bridge,hard,wife,Erica Packer|James Packer,Erica Packer|Brian Cook (football administrator)|Crazy John's|Dipangkorn Rasmijoti|Leg of mutton nude|James Packer
448,hp_dev_0448,What is the name of the film starring Rose McGowan and features the character Earl McGraw's daughter?,Planet Terror,bridge,hard,daughter,Earl and Edgar McGraw|Earl and Edgar McGraw|Planet Terror,The Pastor's Wife (film)|Scream (1996 film)|Emotional Technology|Earl and Edgar McGraw|Conan the Barbarian (2011 film)|Amy Blue
503,hp_dev_0503,"What is the birthday of this Anglo-Irish actress, courtean, and mistress, who was the mother to the illegitimate daughter of King William IV?",22 November,bridge,hard,mother|daughter,"Elizabeth Hay, Countess of Erroll|Dorothea Jordan","Dorothea Jordan|Elizabeth Hay, Countess of Erroll|Lady Mary Fox|Lord Frederick FitzClarence|Lady Augusta Gordon|John Crichton-Stuart, 5th Marquess of Bute"
686,hp_dev_0686,What was the proper name of the husband of Lollia Paullina?,Gaius Julius Caesar Augustus Germanicus,bridge,hard,husband,Lollia Paulina|Caligula,Proper name (philosophy)|Collis (planetary nomenclature)|Proper name mark|Somali name|Masarjawaih|Antonomasia
789,hp_dev_0789,"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Chloë Alexandra Adele Emily Agnew,bridge,hard,daughter,Adele King|Adele King|Chloë Agnew,"Joe Dolan (disambiguation)|Adele King|Maxi (singer)|TBC (band)|Maxi, Dick and Twink|Richie Kavanagh"
832,hp_dev_0832,What was Terry Owen's son's profession after retiring from football?,racehorse breeder and owner,bridge,hard,son,Terry Owen|Michael Owen,Mark Skinner|James L. Terry|Adam Owen|Alfred Owen|Owen (name)|Fish Karma
907,hp_dev_0907,What is the name of the father of Childericus?,Merovech,bridge,hard,father,Childeric I|Merovingian dynasty,List of Coptic saints|Abraham (surname)|Childeric I|Amir Gulistan Janjua|Ansing|Eleazar ben Pedat
919,hp_dev_0919,"What character in ""Father Ted"" was played by an actor who starred in Death in Paradise?",Father Dougal McGuire,bridge,hard,father,Death in Paradise (TV series)|Ardal O'Hanlon,"Ardal O'Hanlon|Ben Keaton|Dermot Morgan|Think Fast, Father Ted|&quot;Good Luck, Father Ted&quot;|List of Father Ted characters"
963,hp_dev_0963,"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",1957,bridge,hard,wife,Peter Marc Jacobson|Fran Drescher,Bill Lawrence (TV producer)|Norby (TV series)|Lesley Joseph|List of The Nanny episodes|Happily Divorced|Peter Marc Jacobson
1073,hp_dev_1073,What kind of comedian was Michael Mclntyre's father?,Canadian comedian,bridge,hard,father,Ray Cameron (comedian)|Michael McIntyre,World Kindness Day|Polybus of Corinth|Deep Fried Man|Michael Barrymore|Michael Redmond (comedian)|Fathers (book)
