task_id,question,answer,raw_type,level,matched_relation_terms,support_titles,first_pass_bucket,reasoning_label,bridge_subtype,keep_drop,note
hp_dev_0024,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,bridge,hard,father,Kasper Schmeichel|Kasper Schmeichel|Peter Schmeichel,likely_relation_chain,bridge,attribute_bridge,drop,"child -> father identifies Peter Schmeichel; final step is award attribute lookup"
hp_dev_0124,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in what 2017 film?,The Bye Bye Man,bridge,hard,daughter,The Bye Bye Man|The Bye Bye Man|Cressida Bonas,likely_relation_chain,bridge,attribute_bridge,drop,"daughter relation identifies Cressida Bonas; final step is film lookup"
hp_dev_0256,What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,1945,bridge,hard,wife,Along the Navajo Trail (film)|Dale Evans,likely_relation_chain,bridge,attribute_bridge,drop,"spouse relation identifies Dale Evans; final step is film year lookup"
hp_dev_0369,Erica Packer was the second wife of what Australian businessman?,James Packer,bridge,hard,wife,Erica Packer|James Packer,needs_manual_read,bridge,unclear,drop,"direct spouse lookup rather than a relation chain that continues through another relation"
hp_dev_0448,What is the name of the film starring Rose McGowan and features the character Earl McGraw's daughter?,Planet Terror,bridge,hard,daughter,Earl and Edgar McGraw|Earl and Edgar McGraw|Planet Terror,likely_relation_chain,bridge,attribute_bridge,drop,"daughter relation identifies Dakota; final step is film association lookup"
hp_dev_0503,"What is the birthday of this Anglo-Irish actress, courtean, and mistress, who was the mother to the illegitimate daughter of King William IV?",22 November,bridge,hard,mother|daughter,"Elizabeth Hay, Countess of Erroll|Dorothea Jordan",likely_relation_chain,bridge,relation_chain_bridge,keep,"King William IV -> illegitimate daughter Elizabeth -> mother Dorothea Jordan -> birthday"
hp_dev_0686,What was the proper name of the husband of Lollia Paullina?,Gaius Julius Caesar Augustus Germanicus,bridge,hard,husband,Lollia Paulina|Caligula,likely_relation_chain,bridge,unclear,drop,"direct spouse identification to Caligula; not a continuing relation chain"
hp_dev_0789,"What is the name of the daughter of the Irish entertainer in the girl band Maxi, Dick and Twink?",Chloë Alexandra Adele Emily Agnew,bridge,hard,daughter,Adele King|Adele King|Chloë Agnew,likely_relation_chain,bridge,unclear,drop,"entertainer identifies Adele King; final step is direct child entity lookup"
hp_dev_0832,What was Terry Owen's son's profession after retiring from football?,racehorse breeder and owner,bridge,hard,son,Terry Owen|Michael Owen,likely_relation_chain,bridge,attribute_bridge,drop,"parent-child relation identifies Michael Owen; final step is profession lookup"
hp_dev_0907,What is the name of the father of Childericus?,Merovech,bridge,hard,father,Childeric I|Merovingian dynasty,needs_manual_read,bridge,unclear,drop,"direct father lookup without a stable multi-relation chain"
hp_dev_0963,"Peter Marc Jacobson is best known as the co-creator of the popular sitcom ""The Nanny"", which he created and wrote with his then wife an actress born in which year ?",1957,bridge,hard,wife,Peter Marc Jacobson|Fran Drescher,likely_relation_chain,bridge,attribute_bridge,drop,"spouse relation identifies Fran Drescher; final step is birth-year attribute lookup"
hp_dev_1073,What kind of comedian was Michael Mclntyre's father?,Canadian comedian,bridge,hard,father,Ray Cameron (comedian)|Michael McIntyre,likely_relation_chain,bridge,attribute_bridge,drop,"child -> father identifies Ray Cameron; final step is comedian-type attribute lookup"
