task_id,matched_relation_terms,first_pass_bucket,provisional_keep_drop,rationale
hp_dev_0024,father,likely_relation_chain,keep,"Child -> father -> award attribute; kinship relation is the bridge."
hp_dev_0028,father,obvious_false_positive,drop,"'Father of modern American shipbuilding' is an honorific title, not a family relation."
hp_dev_0124,daughter,likely_relation_chain,keep,"Mother/daughter relation is used to identify Cressida Bonas before retrieving the film."
hp_dev_0198,son,obvious_false_positive,drop,"Matched relation term comes from the title 'Son of al Qaeda', not a kinship bridge."
hp_dev_0256,wife,likely_relation_chain,keep,"Spouse relation identifies Dale Evans, then the film year is retrieved."
hp_dev_0369,wife,needs_manual_read,keep,"Looks like spouse-based lookup, but may collapse into a very short direct relation lookup rather than a stable relation-chain case."
hp_dev_0448,daughter,likely_relation_chain,keep,"Character-family relation appears to be the bridge to the target film."
hp_dev_0503,mother|daughter,likely_relation_chain,keep,"Question explicitly chains mother/daughter relations before retrieving the birthday."
hp_dev_0686,husband,likely_relation_chain,keep,"Spouse relation is the bridge to the proper historical name."
hp_dev_0789,daughter,likely_relation_chain,keep,"Parent/child relation is used to identify the daughter entity."
hp_dev_0832,son,likely_relation_chain,keep,"Parent/child relation identifies Michael Owen before retrieving post-football profession."
hp_dev_0907,father,needs_manual_read,keep,"Likely kinship bridge, but historical genealogy phrasing may hide a different supporting structure."
hp_dev_0919,father,obvious_false_positive,drop,"Matched relation term comes from the title 'Father Ted', not a family relation."
hp_dev_0963,wife,likely_relation_chain,keep,"Spouse relation identifies Fran Drescher before retrieving birth year."
hp_dev_1073,father,likely_relation_chain,keep,"Parent/child relation identifies Ray Cameron before retrieving comedian type."
